UserID,Venue category name,Latitude,Longitude,Time,Timegap,Trajectory,VenueID
1,Sandwich Place,40.72082277,-74.01009266,4/16/2012 11:54,1 days 16:38:10.000000000,4,198
1,Park,40.72028976,-74.00542734,4/16/2012 13:56,0 days 02:02:19.000000000,4,169
1,Gift Shop,40.775911,-73.980051,5/1/2012 18:08,2 days 01:22:53.000000000,7,110
1,Bar,40.77598623,-73.97952785,5/1/2012 18:15,0 days 00:07:05.000000000,7,22
1,Seafood Restaurant,40.720537,-73.963521,6/10/2012 13:38,1 days 16:58:57.000000000,14,204
1,Flea Market,40.72059137,-73.96331906,6/10/2012 15:44,0 days 02:05:35.000000000,14,91
1,Beer Garden,40.71653438,-73.96144836,6/10/2012 16:07,0 days 00:23:28.000000000,14,24
1,Clothing Store,40.714240000000004,-73.960151,6/10/2012 16:42,0 days 00:34:50.000000000,14,53
1,Seafood Restaurant,40.71775897,-73.95858419,6/10/2012 18:02,0 days 01:20:14.000000000,14,204
1,Hot Dog Joint,40.717006,-73.956565,6/10/2012 19:18,0 days 01:15:59.000000000,14,122
1,Airport,40.64508936,-73.78452301,8/10/2012 12:40,4 days 17:05:00.000000000,20,2
1,Steakhouse,40.64085611,-73.78920078,8/10/2012 13:05,0 days 00:25:00.000000000,20,219
2,American Restaurant,40.62956,-74.02854502,5/13/2012 11:29,1 days 00:10:35.000000000,30,3
2,Other Great Outdoors,40.60976609,-74.03414011,5/13/2012 14:12,0 days 02:42:43.000000000,30,165
2,Coffee Shop,40.66144182,-73.84009838,5/13/2012 16:17,0 days 02:05:02.000000000,30,54
2,Gym / Fitness Center,40.64668884,-73.91399171,5/17/2012 9:08,0 days 19:45:32.000000000,32,114
2,Department Store,40.75061379,-73.98856401,5/17/2012 10:44,0 days 01:35:58.000000000,32,68
2,Department Store,40.77388356,-73.98221954,5/17/2012 12:13,0 days 01:29:20.000000000,32,68
2,Burger Joint,40.77803102,-73.98038874,5/17/2012 12:46,0 days 00:32:56.000000000,32,36
2,Coffee Shop,40.712035,-74.007817,6/4/2012 9:06,0 days 16:34:34.000000000,35,54
2,Train Station,40.67692779,-73.89869928,6/4/2012 9:42,0 days 00:36:36.000000000,35,238
2,Other Great Outdoors,40.86735263,-74.06783451,6/10/2012 15:00,1 days 03:37:44.000000000,37,165
2,Steakhouse,40.91823665,-74.07438558,6/10/2012 16:01,0 days 01:01:01.000000000,37,219
2,Coffee Shop,40.73512485,-73.99009926,1/25/2013 22:35,14 days 06:21:42.000000000,50,54
2,Bus Station,40.64580572,-73.90217543,1/26/2013 0:02,0 days 01:27:31.000000000,50,38
2,Medical Center,40.63333154,-74.0921,2/2/2013 14:39,0 days 20:30:27.000000000,51,141
2,Coffee Shop,40.63040879,-74.10609944,2/2/2013 15:49,0 days 01:10:37.000000000,51,54
3,Athletic & Sport,40.72930764,-74.01266098,4/21/2012 10:28,0 days 12:18:54.000000000,60,15
3,Other Great Outdoors,40.73421817,-74.01055813,4/21/2012 13:09,0 days 02:40:42.000000000,60,165
3,Mexican Restaurant,40.73406777,-74.00636852,4/21/2012 13:18,0 days 00:09:43.000000000,60,144
3,Electronics Store,40.7639385,-73.97308829999999,5/27/2012 13:43,0 days 03:40:22.000000000,63,78
3,Outdoors & Recreation,40.76589656,-73.97241679,5/27/2012 14:01,0 days 00:17:34.000000000,63,167
3,Plaza,40.779022,-73.962163,5/27/2012 14:59,0 days 00:58:44.000000000,63,179
3,Restaurant,40.73690423,-74.00002736,7/17/2012 18:23,0 days 22:18:05.000000000,71,193
3,American Restaurant,40.736982,-74.002197,7/17/2012 20:47,0 days 02:24:06.000000000,71,3
4,Sporting Goods Shop,40.810271500000006,-73.95165145,7/3/2012 10:43,5 days 22:47:25.000000000,82,217
4,Gym / Fitness Center,40.80986581,-73.95154698,7/3/2012 12:09,0 days 01:25:31.000000000,82,114
4,Miscellaneous Shop,40.82207173,-73.92988269,7/4/2012 10:32,0 days 11:35:09.000000000,83,148
4,Gym / Fitness Center,40.80927,-73.94907117,7/4/2012 12:56,0 days 02:24:28.000000000,83,114
4,Food & Drink Shop,40.778504,-73.98209200000001,11/9/2012 15:21,2 days 18:01:09.000000000,86,94
4,Food & Drink Shop,40.78055768,-73.98171902,11/9/2012 15:53,0 days 00:31:15.000000000,86,94
4,Medical Center,40.802489,-73.96719217,11/9/2012 17:16,0 days 01:23:02.000000000,86,141
5,Miscellaneous Shop,40.72289631,-74.03914364,6/17/2012 16:25,0 days 20:16:21.000000000,90,148
5,Residential Building (Apartment / Condo),40.72931156,-74.04107715,6/17/2012 17:07,0 days 00:41:26.000000000,90,191
5,Home (private),40.72800078,-74.0358876,6/17/2012 17:07,0 days 00:00:34.000000000,90,121
5,Residential Building (Apartment / Condo),40.72931156,-74.04107715,6/17/2012 17:08,0 days 00:01:02.000000000,90,191
5,Building,40.71186956,-74.01181415,7/13/2012 14:31,0 days 18:04:41.000000000,95,35
5,Train Station,40.71267093,-74.01193142,7/13/2012 14:33,0 days 00:02:22.000000000,95,238
5,Subway,40.72688476,-74.03454781,7/13/2012 14:46,0 days 00:13:17.000000000,95,222
5,Train Station,40.73606359,-74.02938724,7/13/2012 15:02,0 days 00:15:52.000000000,95,238
5,Department Store,40.73215319,-74.03588891,7/13/2012 18:00,0 days 02:57:37.000000000,95,68
5,Home (private),40.72800078,-74.0358876,7/13/2012 18:32,0 days 00:32:11.000000000,95,121
