UserID,Venue category name,Latitude,Longitude,Time,Timegap,Trajectory,VenueID
1,General Entertainment,40.73939794,-73.99320973,4/8/2012 14:20,1 days 00:38:05.000000000,1,86
1,American Restaurant,40.785677,-73.97649799999998,4/8/2012 16:02,0 days 01:41:41.000000000,1,2
1,Bar,40.76066702,-73.99494767,4/13/2012 21:11,0 days 09:29:39.000000000,2,17
1,Korean Restaurant,40.76410356,-73.98672473,4/13/2012 23:07,0 days 01:56:36.000000000,2,108
1,Bar,40.76064468,-73.98606474,4/14/2012 0:45,0 days 01:37:17.000000000,2,17
1,French Restaurant,40.77626803,-73.97971725,4/14/2012 11:57,0 days 11:12:07.000000000,3,77
1,Hotel,40.75673069,-73.97406975,4/14/2012 13:45,0 days 01:48:03.000000000,3,101
1,Hotel,40.756246600000004,-73.97269228,4/14/2012 16:03,0 days 02:18:19.000000000,3,101
1,Ramen /  Noodle House,40.75719692,-73.96878004,4/14/2012 17:24,0 days 01:20:26.000000000,3,151
1,Bar,40.75730502,-73.96864019,4/14/2012 18:07,0 days 00:43:35.000000000,3,17
1,Burger Joint,40.75881855,-73.9686574,4/14/2012 19:15,0 days 01:07:24.000000000,3,29
1,Burger Joint,40.75881855,-73.9686574,4/14/2012 19:15,0 days 00:00:43.000000000,3,29
1,American Restaurant,40.74131916,-74.00611595,4/19/2012 18:51,0 days 03:48:54.000000000,5,2
1,Diner,40.73376270000001,-74.006264,4/19/2012 21:49,0 days 02:58:07.000000000,5,59
1,American Restaurant,40.72516293,-73.99215952,4/21/2012 12:28,0 days 16:12:53.000000000,6,2
1,Record Shop,40.728912,-73.9993,4/21/2012 14:22,0 days 01:54:10.000000000,6,152
1,Bar,40.729658,-73.998515,4/21/2012 14:48,0 days 00:26:37.000000000,6,17
1,Electronics Store,40.72603399,-73.99630868,4/21/2012 15:18,0 days 00:29:51.000000000,6,64
1,Music Store,40.726483,-73.984286,4/21/2012 16:00,0 days 00:41:54.000000000,6,130
1,Wings Joint,40.7254542,-73.9879547,4/21/2012 16:18,0 days 00:17:36.000000000,6,198
1,Sushi Restaurant,40.78410067,-73.97768554,5/12/2012 18:44,0 days 04:03:33.000000000,8,180
1,Bar,40.776187,-73.98241999999998,5/12/2012 20:01,0 days 01:17:47.000000000,8,17
1,General Entertainment,40.65995244,-73.96886587,5/19/2012 13:54,0 days 20:27:03.000000000,9,86
1,American Restaurant,40.66530754,-73.98940086,5/19/2012 16:38,0 days 02:43:55.000000000,9,2
1,Italian Restaurant,40.78652047,-73.97652626,5/25/2012 20:12,0 days 10:01:24.000000000,10,105
1,Coffee Shop,40.78588891,-73.97685908,5/25/2012 21:12,0 days 01:00:38.000000000,10,44
1,Bar,40.78596681,-73.97258897,5/27/2012 15:47,0 days 21:02:11.000000000,11,17
1,Bar,40.77662441,-73.97948194,5/27/2012 17:25,0 days 01:38:39.000000000,11,17
1,Gastropub,40.72800678,-73.99914265,5/29/2012 17:33,1 days 00:13:30.000000000,12,84
1,Bar,40.721488,-73.995029,5/29/2012 19:15,0 days 01:41:18.000000000,12,17
1,Italian Restaurant,40.7179239,-73.99813359999997,5/29/2012 19:50,0 days 00:35:05.000000000,12,105
1,American Restaurant,40.76768821,-73.98503745,6/8/2012 19:55,1 days 01:18:04.000000000,13,2
